Date and Time, UTC
22 February 2018, 14:17
24 May 2019, 02:30
11 November 2019, 14:56
7 January 2020, 02:19:21
29 January 2020, 14:06
17 February 2020, 15:05
18 March 2020, 12:16:39
22 April 2020, 19:30:30
4 June 2020, 01:25:00
13 June 2020, 09:21:18
7 August 2020, 05:12:05
18 August 2020, 14:31:16
3 September 2020, 12:46:14
6 October 2020, 11:29:34
18 October 2020, 12:25:57
24 October 2020, 15:31:34
25 November 2020, 02:13:12
20 January 2021, 13:02:00
24 January 2021, 15:00:00
4 February 2021, 06:19:00
16 February 2021, 03:59:37
4 March 2021, 08:24:54
11 March 2021, 08:13:29
14 March 2021, 10:01:26
24 March 2021, 08:28:24
7 April 2021, 16:34:18
29 April 2021, 03:44:00
4 May 2021, 19:01
9 May 2021, 06:42
15 May 2021, 22:56
26 May 2021, 18:59
30 June 2021, 19:31
14 September 2021, 03:55:50
13 November 2021, 11:19:30
2 December 2021, 23:12:15
18 December 2021, 12:41:40
6 January 2022, 21:49:10
19 January 2022, 02:02:40
3 February 2022, 18:13:20
21 February 2022, 14:44:20
25 February 2022, 17:12:10
3 March 2022, 14:25
9 March 2022, 13:45:10
19 March 2022, 04:42:30
21 April 2022, 17:51:40
29 April 2022, 21:27:10
6 May 2022, 09:42
13 May 2022, 22:07:50
14 May 2022, 20:40:50
18 May 2022, 10:59:40
17 June 2022, 16:09:20
7 July 2022, 13:11:10
11 July 2022, 01:39:40
17 July 2022, 14:20
22 July 2022, 17:39:40
24 July 2022, 13:38:20
10 August 2022, 02:14:40
12 August 2022, 21:40:20
19 August 2022, 19:21:20
28 August 2022, 03:41
31 August 2022, 05:40:10
5 September 2022, 02:09:40
11 September 2022, 01:20
19 September 2022, 00:18:40
24 September 2022, 23:32:10
5 October 2022, 23:10:30
20 October 2022, 14:50:40
28 October 2022, 01:14
17 December 2022, 21:32
28 December 2022, 9:34
19 January 2023, 15:43
26 January 2023, 9:32
31 January 2023, 16:15
2 February 2023, 7:58
12 February 2023, 5:10
